"20-24",5.58,5.93,8.59,13.48,24.80,3.10,7.26,2.54,7.83,87.71
"25-29",11.85,26.16,13.80,25.90,36.02,7.08,7.78,9.44,14.08,61.04
"30-34",17.11,48.07,26.43,30.12,33.89,14.77,33.06,10.82,22.83,114.91
"35-39",27.98,49.58,27.65,38.13,62.11,23.19,33.44,30.49,31.65,93.41
"40-44",50.95,53.03,42.52,52.41,90.67,27.60,53.20,34.33,33.42,137.24
"45-49",57.53,71.55,51.42,70.69,146.36,48.96,77.67,40.15,51.56,195.74
"50-54",62.00,96.08,54.16,80.82,235.50,64.66,104.72,71.14,75.98,308.14
"55-59",83.06,115.71,72.04,95.96,309.97,97.03,130.71,91.38,107.18,457.10
"60-64",108.40,130.34,98.23,94.64,525.00,161.38,156.00,130.09,116.72,782.21
"65-69",135.21,159.29,116.76,136.96,875.17,206.76,228.23,169.69,168.27,1325.55
"70-74",130.35,180.40,115.59,162.10,1458.92,269.73,268.05,187.83,219.96,2242.59
"75-79",181.86,172.24,143.81,146.93,2504.20,292.98,330.76,244.01,244.73,4068.61
"80-84",186.76,203.62,158.25,167.20,5050.05,366.97,397.13,313.30,311.18,6958.11
"85+",201.99,186.13,153.37,137.79,13653.09,458.29,372.33,301.96,307.49,15439.56
